Oncology Biomarker Common Use(s),reached_phase_3_plus,Oncology Biomarker,Protocol/Trial ID,Trial.ID,Trial Phase
,1,,jRCTs051230064 TrialTroveID-488577,488577,Iv
Diagnostic; Predisposing; Prognostic,0,AGO2; myoglobin,DA350102 jRCT2071220047 TrialTroveID-479138,479138,I
,0,,DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,415776,Ii
Diagnostic; Predisposing; Prognostic,0,AGO2,DA301006 jRCT2071210022 TrialTroveID-412705,412705,I
Diagnostic; Predictive; Predisposing; Prognostic,0,AGO2; myoglobin; RRM1,DA350101 jRCT2071210023 TrialTroveID-324988,324988,I
Diagnostic; Prognostic,0,MIP,EPI589-15-001 NCT02460679 TrialTroveID-258694,258694,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,albumin; GGT1,EFBORAZ20141120 NCT03651349 TrialTroveID-331609,331609,I
,0,,IRB00263068 NCT04749433,396721,I
,0,,AAAS4926 NCT04575727,386127,I
Diagnostic; Predisposing; Prognostic,0,PDSS1; TSPO,2015P000140 NCT02559869 TRACK-ALS,265102,(N/A)
Diagnostic; Predisposing; Prognostic,0,ACKR2; SRCIN1,18F-RoSMALS NCT05880563,471497,I
Diagnostic; Predictive; Predisposing; Prognostic,0,TNF; TSPO,MARIA NCT02405403 PHAO-13-PC/MARIA,254890,(N/A)
Diagnostic; Predisposing; Prognostic,0,PLG; TSPO; WASPA,[18F]PBR06 NCT03876002,345363,I
,0,,NCT03510572 PI-18001,323339,(N/A)
Prognostic,0,SLC1A2,13180640 NCT05374278,432602,Iii
Prognostic,0,PICK1; PSPH,MNI-777 NCT02103894,232400,I
Prognostic,0,CNP; PICK1,94-N-0205 940205 NCT00001972,223534,(N/A)
Diagnostic; Predisposing; Prognostic,0,BLOC1S5; SLC17A5,09-008772 NCT01623284,228826,I
,0,,18F-AV-45-010 NCT01890343,230737,Ii
,1,,08-005553 NCT00950430 R01AG011378 U01AG006786,241625,Iv
Diagnostic; Prognostic,0,MOG; PAEP; PML,NCT05395624 OP-801-001,433210,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,AGO2; CD14,ACTRN12621000864820 NCT05039268 TrialTroveID-387398 ZZ-3K3A-202,387398,Ii
Predisposing; Prognostic,0,MS4A2,2024-5148 NCT05974579,480013,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CD28; CD4; CD8A; CDR1; GRN; NEFH; NEFL; NRGN; RUNX1T1,AC-TP-001 AIDA EudraCT Number: 2017-000643-41 NCT03174886 TrialTroveID-302891,302891,I
Predisposing; Prognostic,0,GPT,JMU-AAV-AADC-PD NCT02418598 TrialTroveID-219951 UMIN000017377,219951,Iii
Diagnostic; Predictive; Predisposing; Prognostic,1,TBX1,EudraCT Number: 2020-005069-15 ISRCTN88446415 Lighthouse 2 LIGHTHOUSE 2 Lighthouse II LIGHTHOUSE II LIGHTHOUSEII NCT05193994 NL77109.041.21 TrialTroveID-364543,364543,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,HLA-B; LIMS1; NAA15; RPA1; SOD1; SRCIN1,CUR-101 Lighthouse NCT02868580 TrialTroveID-284540,284540,Ii
Prognostic,0,RPS6KA3,TrialTroveID-513380,513380,I
Prognostic,0,RPS6KA3,M24-852 NCT06310876 TrialTroveID-508060,508060,I
Prognostic,0,RPS6KA3,M24-851 NCT06145607 TrialTroveID-493451,493451,I
Prognostic,0,RPS6KA3,M24-192 NCT05763459 TrialTroveID-461774,461774,I
Diagnostic; Prognostic,1,ATP2C1; NEFL; RPS6KA3,2019P003518F HEALEY ALS Platform – Regimen F NCT05740813 TrialTroveID-459902,459902,Ii/Iii
Prognostic,0,RPS6KA3,TrialTroveID-396430,396430,I
Prognostic,0,RPS6KA3,CCR-21-30 M20-405 NCT04948645 TrialTroveID-396402,396402,I
,1,,TrialTroveID-255054,255054,Iv
,0,,TrialTroveID-345889,345889,Ii
,0,,TrialTroveID-252392,252392,Ii
,0,,TrialTroveID-188598,188598,I
Diagnostic; Predisposing; Prognostic,1,ELANE; NEFL; PGC; PPIA,ALCALS NCT06126315 TrialTroveID-492004,492004,Ii/Iii
Prognostic,0,MARCHF1,TrialTroveID-423254,423254,Ii
Diagnostic; Predictive; Prognostic,0,CD200,TrialTroveID-166423,166423,Ii
,0,,TrialTroveID-147362,147362,I
Diagnostic; Predictive; Prognostic,0,CD200; CXCL17; DYM; S100A6,3303 EudraCT Number: 2004-004158-23 FARM5LRKR9 TrialTroveID-109501,109501,Ii
,0,,TrialTroveID-415000,415000,Iii
,0,,NCT03500627 OP-101-002 TrialTroveID-322747,322747,I
Diagnostic; Predictive; Predisposing; Prognostic,1,CMAS; COX7A2L; NPC1; PICK1,BASEC2022-00638 EudraCT Number: 2021-005356-10 IB1001-301 NCT05163288 NL79787.018.21 SNCTP000005101 TrialTroveID-421082,421082,Iii
Diagnostic; Predictive; Predisposing; Prognostic,0,COX7A2L; insulin; NPC1; NPC2; PICK1,EudraCT Number: 2018-004331-71 IB1001-201 NCT03759639 TrialTroveID-337946,337946,Ii
,0,,AIH in ALS NCT03645031 OCR18018 TrialTroveID-363683,363683,Ii
,0,,02-(AdeVask)-2014 TrialTroveID-255731,255731,Ii
Diagnostic; Predictive; Prognostic,0,CD200,ADIPOSTEM DPO/014/33/09/2015 NCT03296501 TrialTroveID-310121,310121,I
,0,,TrialTroveID-098220,98220,I
Predictive; Predisposing; Prognostic,0,SOD1,Study 102 TrialTroveID-078903,78903,I
,0,,Study 101 TrialTroveID-078887,78887,I
,1,,TrialTroveID-403861,403861,Iii
Predictive; Predisposing; Prognostic,0,SOD1,TrialTroveID-109688,109688,Ii
,0,,TrialTroveID-483042,483042,I
Diagnostic; Predictive; Predisposing; Prognostic,0,CCL2; CD4; CD8A; HNRNPU; IL2; IL7R; PLAC8; transferrin; TRIP12,EudraCT number: 2014-001327-71 IMODALS LOCAL/2014/WC-01 NCT02059759 TrialTroveID-202570,202570,Ii
Diagnostic; Predictive; Predisposing; Prognostic,0,CD4,NCT06395038 PRO00037661 TrialTroveID-515031,515031,I
