Dataset,Column,Change,Type,Reason
core_trial_info.csv,Therapeutic Area,'CNS' → 'Cns',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
core_trial_info.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
core_trial_info.csv,Trial Objective,'To examine the safety and tolerability of re-administering EPI-589 to patients with amyotrophic lateral sclerosis (ALS) who have previously received EPI-589.' → 'To Examine The Safety And Tolerability Of Re-Administering Epi-589 To Patients With Amyotrophic Lateral Sclerosis (Als) Who Have Previously Received Epi-589.',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
core_trial_info.csv,Study Design,"'An Interventional, single arm, open label, safety and tolerability study' → 'An Interventional, Single Arm, Open Label, Safety And Tolerability Study'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
core_trial_info.csv,Study Design,'This Is A Phase Iii Study.' → 'This Is A Phase I/Ii Study',Category standardization,Unified similar categorical values
core_trial_info.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
core_trial_info.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
sponsor_and_organization.csv,Sponsor: Parent HQ City,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
sponsor_and_organization.csv,Sponsor Type,"'Industry, all other pharma' → 'Industry, All Other Pharma'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
sponsor_and_organization.csv,Sponsor: Parent HQ Country,' \n ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
sponsor_and_organization.csv,Sponsor: Parent HQ State,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
sponsor_and_organization.csv,Sponsor: Parent HQ State,'NJ' → 'Nj',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
sponsor_and_organization.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
sponsor_and_organization.csv,Trial Notes,"'Japan Registry of Clinical Trials\n\nJRCT Number: jRCTs051230064\n\nScheduled date of case registration: August 9, 2023\nFirst case registration date: August 9, 2023\nImplementation period (start date): \nImplementation period (end date): December 31, 2024\n\nProgress / Recruitment Status: Recruitment closed\n\nSource of Monetary Support / Secondary Sponsor:\n\nhttps://jrct.niph.go.jp/latest-detail/jRCTs051230064' → 'Japan Registry of Clinical Trials JRCT Number: jRCTs051230064 Scheduled date of case registration: August 9, 2023 First case registration date: August 9, 2023 Implementation period (start date): Implementation period (end date): December 31, 2024 Progress / Recruitment Status: Recruitment closed Source of Monetary Support / Secondary Sponsor: https://jrct.niph.go.jp/latest-detail/jRCTs051230064'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
sponsor_and_organization.csv,Sponsor: Parent HQ Postal Code,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
sponsor_and_organization.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
sponsor_and_organization.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
drug_and_treatment.csv,Other Tested Drug: Mechanism Of Action,'Not applicable' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
drug_and_treatment.csv,Other Tested Drug: Target,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
drug_and_treatment.csv,Protocol/Trial ID,'jRCTs051230064\nTrialTroveID-488577' → 'jRCTs051230064 TrialTroveID-488577',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
drug_and_treatment.csv,Primary Tested Drug: Target,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
drug_and_treatment.csv,Primary.Tested.Drug.Mechanism.Of.Action,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
drug_and_treatment.csv,Primary Tested Drug: Therapeutic Class,' ' → NaN,Missing value standardization,Converted various missing indicators to standard NaN
drug_and_treatment.csv,Trial Phase,'IV' → 'Iv',Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
drug_and_treatment.csv,Trial Phase,'I/Ii' → 'Iii',Category standardization,Unified similar categorical values
patient_characteristics.csv,Inclusion Criteria,"'1) Patients who have given written informed consent to participate in this clinical study (or patients for whom a signature was obtained by a proxy, in case patients who have the ability to consent but are unable to sign the consent form in their own handwriting due 2) Patients who have entered the investigator-initiated clinical trial (DA350103) and \nhave received EPI-589 for about 24 weeks, and have had no concerns with safety or tolerability. 3) Patients who can go to outpatient clinic' → '1) Patients who have given written informed consent to participate in this clinical study (or patients for whom a signature was obtained by a proxy, in case patients who have the ability to consent but are unable to sign the consent form in their own handwriting due 2) Patients who have entered the investigator-initiated clinical trial (DA350103) and have received EPI-589 for about 24 weeks, and have had no concerns with safety or tolerability. 3) Patients who can go to outpatient clinic'",Text normalization,"Removed extra whitespace, newlines, and standardized formatting"
