Other Tested Drug,Other Tested Drug: Mechanism Of Action,reached_phase_3_plus,Other Tested Drug: Target,Treatment Plan,Protocol/Trial ID,Prior/Concurrent Therapy,Other Tested Drug: Therapeutic Class,Primary Tested Drug: Target,Trial.ID,Primary Tested Drug,Primary.Tested.Drug.Mechanism.Of.Action,Primary Tested Drug: Therapeutic Class,Trial Phase
,,1,,Administer EPI-589 500 mg orally three times daily before meals. The administration period will be from the day after registration of the treatment period to the end of all examinations and observations specified at the 22nd week of the treatment period.,jRCTs051230064 TrialTroveID-488577,,,Unspecified,488577,(R)-troloxamide quinone,Unidentified pharmacological activity,Metabolic and enzyme disorders; Antiparkinsonian; Antipsychotic; Neuroprotective,Iv
,,0,,Subjects receive a test formulation (containing 1000 mg of EPI-589) or a reference formulation (containing 1000 mg of EPI-589) once orally in period 1 and period 2.,DA350102 jRCT2071220047 TrialTroveID-479138,,,Unspecified,479138,(R)-troloxamide quinone,Unidentified pharmacological activity,Metabolic and enzyme disorders; Antiparkinsonian; Antipsychotic; Neuroprotective,I
,,0,,"Subjects will receive EPI-589. During the treatment period, patients will orally receive EPI-589 1,500 mg daily Intervention: EPI-589 500 mg (2 tablets of EPI-589 250 mg) is orally administered three times a day before meals (at least one hour before breakfast, lunch, and dinner). the treatment period to the end of the examination at 24 weeks of the treatment perio",DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,,,Unspecified,415776,(R)-troloxamide quinone,Unidentified pharmacological activity,Metabolic and enzyme disorders; Antiparkinsonian; Antipsychotic; Neuroprotective,Ii
,,0,,"Part A: Single Oral Administration (EPI-589 250, 500, 1000 mg / day or placebo) Part B: Single Oral Administration (EPI-589 500 mg / day or Placebo) Part C: Repeated Oral Administration (EPI-589) 1000, 1500 mg / day or placebo) Part D: Single oral dose (EPI-589 500 mg / day)",DA301006 jRCT2071210022 TrialTroveID-412705,,,Unspecified,412705,(R)-troloxamide quinone,Unidentified pharmacological activity,Metabolic and enzyme disorders; Antiparkinsonian; Antipsychotic; Neuroprotective,I
,,0,,"Cohort 1: multiple oral administration, 750 mg, three times a day, EPI-589 or placebo Cohort 2: multiple oral administration, 1000 mg, three times a day, EPI-589 or placebo Cohort 3: multiple oral administration, 1250 mg, three times a day, EPI-589 or placebo Cohort 4: multiple oral administration, 1500 mg, three times a day, EPI-589 or placebo Cohort 5: multiple oral administration, 1500 mg, three times a day, EPI-589 or placebo",DA350101 jRCT2071210023 TrialTroveID-324988,,,Unspecified,324988,(R)-troloxamide quinone,Unidentified pharmacological activity,Metabolic and enzyme disorders; Antiparkinsonian; Antipsychotic; Neuroprotective,I
,,0,,"Number of Arms: 1 Experimental: EPI-589 Participants will receive EPI-589 500 milligrams (mg) (2 tablets of 250 mg each) twice daily (BID) for 3 months, unless discontinued for safety or tolerability issues. Drug: EPI-589 An immediate release film-coated table at a 250 mg dosage strength will be administered per dose and schedule specified in arm. Other Name: (R)-troloxamide quinone Open label with 30-day run in phase to establish baseline parameters and a 90-day withdrawal phase to determine duration of treatment response.",EPI589-15-001 NCT02460679 TrialTroveID-258694,,,Unspecified,258694,(R)-troloxamide quinone,Unidentified pharmacological activity,Metabolic and enzyme disorders; Antiparkinsonian; Antipsychotic; Neuroprotective,Ii
,,0,,"Number of arms: 8 Arm 1: Placebo Comparator: Placebo control Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: Placebo control In order to evaluate the safety and tolerability of HK-001 more accurately, a drug-free placebo control is planned to be utilized for the same administration route in this proposed trial. The placebo control that is identical in appearance, smell, weight, and excipients will be supplied by Everfront Biotech Inc. Other Name: Placebo Arm 2: Experimental: 50 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Arm 3: Experimental: 100 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Arm 4: Experimental: 150 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Arm 5: Experimental: 225 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Arm 6: Experimental: 300 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Arm 7: Experimental: 400 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Arm 8: Experimental: 525 mg, BID Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts consisting of 8 subjects each. Intervention/treatment : Drug: HK-001 HK-001 is synthesized by PharmaCore Biotech Co., Ltd. Synthetic (Z)-BP with high purity will be used in this proposed study. Other Name: (Z)-n-butylidenephthalide [(Z)-BP] Eligible subjects will receive either different dosages of HK-001 or placebo in a 3:1 ratio in 1 of the 7 dose cohorts.",EFBORAZ20141120 NCT03651349 TrialTroveID-331609,,,AXL receptor tyrosine kinase; CD274 molecule; O-6-methylguanine-DNA methyltransferase,331609,(Z)-n-butylidenephthalide,Axl receptor tyrosine kinase inhibitor; O6-alkylguanine-DNA alkyltransferase inhibitor; PD-L1 antagonist,"Anticancer, other; Neuroprotective",I
,,0,,Number of Arms: 2 Experimental : Participants with diagnosis of ALS Participants with a diagnosis of ALS will receive a single dose of [11C]CPPC (370 megabecquerel (MBq) (X±1 mCi)) intravenously and subsequent positron emission tomography (PET) scan. Experimental : Healthy Participants without a diagnosis of ALS Healthy participants (without a diagnosis of ALS) will receive a single dose of [11C]CPPC (370 megabecquerel (MBq) (X±1 mCi)) intravenously and subsequent positron emission tomography (PET) scan.,IRB00263068 NCT04749433,,,,396721,[11C]CPPC Injection,,,I
,,0,,"Number of Arms: 2 Experimental : Health Volunteers In the first stage, five healthy human subjects will receive a microdose (10 µg) of [11C]MPC6827, immediately followed by whole body PET/CT to determine dosimetry and perform an initial safety evaluation of the radiotracer. A dose of 20 mCi [11C]MPC6827 will be administered and serial whole body PET scans will be acquired up to 2 hours post injection. Experimental : Patients with Neurodegenerative Disorders Up to 30 patients with neurodegenerative disorders will receive a microdose (10 µg) of [11C]MPC6827 and be imaged dynamically for up to 90 minutes using PET/CT for research purposes.",AAAS4926 NCT04575727,,,,386127,[11C]MPC6827,,,I
,,0,,,2015P000140 NCT02559869 TRACK-ALS,,,,265102,[18F] GE-180,,,(N/A)
