Primary.Endpoint,reached_phase_3_plus,Trial Results,Secondary/Other Endpoint Details,Protocol/Trial ID,Primary Endpoint Details,Disposition of Patients,Secondary/Other Endpoint,Trial.ID,Primary Endpoint Group,Secondary/Other Endpoint Group,Outcome Details,Trial Phase,Trial Outcomes,endpoint_efficacy,endpoint_safety,endpoint_functional,endpoint_biomarker,endpoint_survival,endpoint_pharmacokinetic,endpoint_total_categories,endpoint_primary_category,outcome_positive,outcome_negative,outcome_terminated,outcome_completed
Adverse Events,1,,"Secondary Outcome(s) ALSFRS-R score change and rate of change Change in %SVC from the start of the treatment period to the occurrence of an event (all-day non-invasive respiratory support, invasive respiratory support, or death) Laboratory tests Vital signs Weight",jRCTs051230064 TrialTroveID-488577,Primary Outcome(s) Adverse event,,ALSFRS-R Slow Vital Capacity,488577,Safety/Toxicity > Adverse Drug Reactions,Efficacy > Patient Assessment Instruments Efficacy > Disease Severity,,Iv,,3,7,0,1,1,0,12,SAFETY,0,0,0,0
Adverse Events Cardiac Telemetry Safety and Tolerability Vital signs,0,,,DA350102 jRCT2071220047 TrialTroveID-479138,"Pharmacokinetic endpoints: Pharmacokinetic parameters Safety endpoints: Adverse events, adverse drug reactions, Laboratory tests, Vital signs, 12-lead electrocardiogram (ECG)",,,479138,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Cardiac Measures/Events Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,,,I,,0,13,0,1,0,1,15,SAFETY,0,0,0,0
Adverse Events ALSAQ-40 ALSFRS-R Cardiac Telemetry Columbia Suicide Severity Rating Scale Creatinine kinase level Grip Strength Magnetic Resonance Imaging Safety and Tolerability Slow Vital Capacity Vital signs,0,,,DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,"Primary Outcome (s): 1) Efficacy the change and change ratio of ALSFRS-R; duration between the start date of treatment and events (intiation of whole-day NPPV, inititation of invasive positive pressure ventilation, or death); the change in% SVC; the change in MMT total score; the change in grip strength (left, right); the change in modified Norris scale total score; the change in the Amyotrophic Lateral Sclerosis Assessment Questionaire-40 (ALSAQ-40) total score 2) Safety Adverse events; laboratory test ; vital sign; 12-lead ECG; C-SSRS 3) Biomarkers the change in CSF biomarkers (3-NT, 8-OHdG, ornithine, pNFH, and NfL); the change in plasma biomarkers (3-NT, 8-OHdG, pNFH, NfL, creatinine and homocysteine); the change in MRI mesurements (NAA measured by 1H-MRS and adjusted by creatine, choline, or creatine + choline, Fractional anisotropy by Diffusion Tensor Imaging, Apparent diffusion coefficient, Whole brain 3D T1WI).",,,415776,Safety/Toxicity > Adverse Drug Reactions Efficacy > Patient Assessment Instruments Efficacy > Patient Assessment Instruments Safety/Toxicity > Cardiac Measures/Events Efficacy > Patient Assessment Instruments Safety/Toxicity > Laboratory Measurements Efficacy > Patient Assessment Instruments Efficacy > Imaging Safety/Toxicity > Safety And Tolerability Efficacy > Disease Severity Safety/Toxicity > Serious Adverse Events,,,Ii,"Completed, Outcome unknown",4,13,0,6,2,0,25,SAFETY,0,0,0,1
Adverse Events Cardiac Telemetry Safety and Tolerability Vital signs,0,,,DA301006 jRCT2071210022 TrialTroveID-412705,"Pharmacokinetic endpoints: Pharmacokinetic parameters Safety endpoints: Adverse events, adverse drug reactions, Laboratory tests, Vital signs, 12-lead electrocardiogram (ECG)",,,412705,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Cardiac Measures/Events Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,,,I,,0,13,0,1,0,1,15,SAFETY,0,0,0,0
Adverse Events Cardiac Telemetry Safety and Tolerability Vital signs,0,,,DA350101 jRCT2071210023 TrialTroveID-324988,"Primary Outcome (s): Pharmacokinetic endpoints: Pharmacokinetic parameters Safety endpoints: Adverse events, adverse drug reactions, Laboratory tests, Vital signs, 12-lead electrocardiogram (ECG)",,,324988,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Cardiac Measures/Events Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,,,I,,0,13,0,1,0,1,15,SAFETY,0,0,0,0
Adverse Events Dose-limiting toxicities Safety and Tolerability Serious Adverse Events,0,"September 23, 2020 Ct.gov results: Results First Posted : September 23, 2020 Last Update Posted : September 23, 2020 Recruitment Details - Pre-assignment Details - Limitations and Caveats [Not Specified] https://clinicaltrials.gov/ct2/show/results/NCT02460679; November 20, 2018 Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration, Volume 19, Issue S1, November 2018 Presented at the 29th International Symposium on ALS/MND, December 9-11, 2018, Glasgow, Scotland Online published date: November 20, 2018 Abstract No.: CLT-17 Matthew B. Klein, Jonathan Katz, Robert Baloh, Kimberly Goslin, Richard Lewis, Dallas Forshew, Peggy Allred, Arlena Cummings, Robert G. Miller Results from the EPI-589 Safety and Pharmacology Trial in ALS Patients Interim Results: A total of 21 subjects were enrolled in the trial; 17 subjects completed the 90-day treatment period. There were no drug-related serious adverse events or doselimiting toxicities recorded during the trial. The drug demonstrated predictable pharmacology. Of the 17 subjects that completed the treatment period, 6 of 17 demonstrated improvement or no change in ALS-FRS from baseline to the end of month 3; 8 of 17 demonstrated less than 1 point/ month worsening on the ALS-FRS. Analysis of biomarkers and remaining clinical endpoints is ongoing at this time and will be presented at the meeting. Conclusions: EPI-589 is a novel small molecule that targets oxidoreductase enzymes critical to regulation of inflammation, oxidative stress and energy metabolism. In this clinical trial, EPI-589 was found to be safe and well-tolerated as well as to have predictable pharmacology. While additional results are still being analyzed, these safety data along with preclinical data, support the further development of EPI-589 for ALS. [Page no: 12/19 at PDF] https://www.tandfonline.com/doi/pdf/10.1080/21678421.2018.1510576","Secondary Outcome Measures: Area Under the Plasma Concentration Versus Time Curve From Time 0 to 12 Hours (AUC0-12) [ Time Frame: Pre-dose (0 hour), 0.5, 1, 2, 4, 6, 8, and 12 hours post-dose at Month 1 and 3 ] Maximum Observed Plasma Concentration (Cmax) [ Time Frame: Pre-dose (0 hour), 0.5, 1, 2, 4, 6, 8, and 12 hours post-dose at Month 1 and 3 ] Change From Baseline in ALSFRS-R Total Score at Month 6 [ Time Frame: Baseline, Month 6 ] ALSFRS-R is a quickly administered (5 minutes) ordinal rating scale that assesses participant's capability and independence in 12 functional activities. All 12 activities, 6 bulbar-respiratory functions, 3 upper extremity functions (writing, cutting food, and dressing), 2 lower-extremity functions (walking and climbing), and 1 other function (turning in bed), are relevant in ALS. Each activity was recorded to the closest approximation from a list of 5 choices, scored 0-4, with the total score ranging from 48 (normal function) to 0 (unable to attempt the task). Change From Baseline in Vital Capacity at Month 6 [ Time Frame: Baseline, Month 6 ] Vital capacity is the maximum amount of air a participant can expel from the lungs after a maximum inhalation. Change From Baseline in MIP at Month 6 [ Time Frame: Baseline, Month 6 ] MIP is a measure of the strength of inspiratory muscles, primarily the diaphragm, and allows for the assessment of ventilatory failure, restrictive lung disease, and respiratory muscle strength. Change From Baseline in Respiratory Rate at Month 6 [ Time Frame: Baseline, Month 6 ] Respiratory rate is the rate at which breathing occurs. Change From Baseline in Heart Rate at Month 6 [ Time Frame: Baseline, Month 6 ] The heart rate measures the number of times the heart beats per minute. Change From Baseline in SpO2 at Month 6 [ Time Frame: Baseline, Month 6 ] SpO2, also known as oxygen saturation, is a measure of the amount of oxygen-carrying hemoglobin in the blood relative to the amount of hemoglobin not carrying oxygen. Change From Baseline in ETCO2 at Month 6 [ Time Frame: Baseline, Month 6 ] ETCO2 is the amount of CO2 in exhaled air, which assesses ventilation. Failure to Thrive: Number of Participants With Weight Loss of More Than 5 Percent (%) From Baseline at Month 6 [ Time Frame: Baseline, Month 6 ] The failure to thrive as measured by body weight was defined as weight loss of more than 5% from baseline Change From Baseline in Average Solid Swallowing Time and Water Swallowing Time at Month 6 [ Time Frame: Baseline, Month 6 ] Participants were observed and timed swallowing water as well as solid foods in accordance with a standardized protocol. Change From Baseline in Muscle Function at Month 6, as Assessed by Handheld Dynamometry Parameters (Grip Strength, Shoulder Flexion, Knee Extension, Hip Flexion, Elbow Flexion, Elbow Extension, and Ankle Dorsi Flexion) [ Time Frame: Baseline, Month 6 ] The strength of designated muscle groups was measured using handheld dynamometry. Change From Baseline in Number of Words Participant Read at Month 6 [ Time Frame: Baseline, Month 6 ] The participant performed tasks in which speech was assessed through a perceptual assessment of overall intelligibility, vocal quality, and other factors by a speech language pathologist. Change From Baseline in Time Spent in Reading at Month 6 [ Time Frame: Baseline, Month 6 ] The participant performed tasks in which speech was assessed through a perceptual assessment of overall intelligibility, vocal quality, and other factors by a speech language pathologist. Change From Baseline in Number of Words Per Minute Read at Month 6 [ Time Frame: Baseline, Month 6 ] The participant performed tasks in which speech was assessed through a perceptual assessment of overall intelligibility, vocal quality, and other factors by a speech language pathologist. Number of Participants With Normal Loudness, Normal Nasality, and Normal Intelligibility [ Time Frame: Month 6 ] The participant performed tasks in which speech was assessed through a perceptual assessment of overall intelligibility, vocal quality, and other factors by a speech language pathologist. Level of Disease-Related Biomarker (Glutathione) in Plasma [ Time Frame: Baseline up to Month 6 ] Glutathione lowest limit of quantification (LLOQ) = 0.089 micromoles (uM) and upper limit of quantification (ULOQ) = 13.916 uM in plasma. Level of Disease-Related Biomarker (Glutathione) in Cerebrospinal Fluid (CSF) [ Time Frame: Baseline up to Month 3 ] Glutathione LLOQ = 0.002 uM and ULOQ = 0.35 uM in CSF. Level of Disease-Related Biomarker (Glutathione) in Urine [ Time Frame: Baseline up to Month 6 ] Glutathione LLOQ = 0.01 uM, and ULOQ = 1.39 uM in urine.",EPI589-15-001 NCT02460679 TrialTroveID-258694,"Primary Outcome Measures: Number of Participants With Drug-Related Serious Adverse Events (SAEs) [ Time Frame: Baseline (Day 0) to Month 6 ] An adverse event (AE) was any untoward medical occurrence in a participant who received study drug without regard to possibility of causal relationship. Serious adverse event (SAE) was an AE resulting in any of the following outcomes or deemed significant for any other reason: death; initial or prolonged inpatient hospitalization; life-threatening experience (immediate risk of dying); persistent or significant disability/incapacity; congenital anomaly. AEs included both SAEs and non-serious AEs. A summary of other non-serious AEs and all SAEs, regardless of causality is located in the 'Reported AE section'. The primary endpont was safety and tolerability as assessed as by drugrelated serious adverse events and dose-limiting toxicities",Period Title: Overall Study EPI-589 Started 19 Received at Least 1 Dose of Study Drug 19 Completed 14 Not Completed 5 Reason Not Completed Investigator Decision 1 Withdrawal by Subject 4 https://clinicaltrials.gov/ct2/show/results/NCT02460679,Ability to swallow ALSFRS-R Change in oxygen saturation Cmax Grip Strength Heart rate Hemoglobin Plasma concentration,258694,Safety/Toxicity > Adverse Drug Reactions Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,Efficacy > Patient Assessment Instruments Efficacy > Patient Assessment Instruments Efficacy > Respiratory Function Pharmacokinetics/Pharmacodynamics > Pharmacokinetics/Pharmacodynamics Efficacy > Patient Assessment Instruments Safety/Toxicity > Cardiac Measures/Events Safety/Toxicity > Laboratory Measurements Pharmacokinetics/Pharmacodynamics > Pharmacokinetics/Pharmacodynamics,"September 24, 2018 The study achieved its primary safety and tolerability endpoint without drug-related serious adverse events or dose-limiting toxicities. Drug treatment was also associated with a statistically significant improvement in cerebrospinal fluid (CSF) and plasma-based biomarkers known to be associated with neuroinflammation and ALS disease progression. https://www.prnewswire.com/news-releases/bioelectron-announces-positive-results-from-phase-2a-als-trial-300717511.html",Ii,"Completed, Positive outcome/primary endpoint(s) met",8,23,3,7,4,6,51,SAFETY,1,0,0,1
Dose-limiting toxicities Maximum tolerated dose Safety and Tolerability Serious Adverse Events,0,,Secondary evaluation indicators: 1. Pharmacokinetic evaluation 2. (Z)-BP and BP-OH in blood/urine Distribution situation in 3. Security assessment,EFBORAZ20141120 NCT03651349 TrialTroveID-331609,"Primary Outcome Measures : Maximum Tolerated Dose (MTD) [ Time Frame: 48 days ] The MTD will be determined by study definition as the highest dose level without significant safety and tolerability concern. Dose Limiting Toxicities (DLT) [ Time Frame: 48 days ] In this study, the DLTs are defined as below: Any Grade > or =2 AE found during study period that is considered at least possibly drug related as judged by the investigator. The NCI-CTCAE 4.03 will be used to grade serum chemistry, hematology, and other abnormalities in the current study. Any drug-related (including probably or possibly drug-related) serious adverse event (SAE) found during study period.",,,331609,Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Safety And Tolerability Safety/Toxicity > Serious Adverse Events,,,I,,0,19,0,2,0,2,23,SAFETY,0,0,0,0
Adverse Events PET scan Safety and Tolerability,0,,Sensitivity of use of [11C]CPPC as assessed by a radiologist [Time Frame: 1 day] Sensitivity of use of [11C]CPPC in PET neuroimaging to detect ALS will be determined by comparing the PET images from patients with ALS with those from healthy controls.,IRB00263068 NCT04749433,Safety of use of [11C]CPPC in patients with ALS as assessed by adverse events [Time Frame: Up to 10 days follow up after scan] Safety of use of [11C]CPPC in positron emission tomography (PET) neuroimaging of patients with a diagnosis of ALS. Safety will be assessed by number of adverse events during and 10 days after the injection. Safety of use of [11C]CPPC in patients with ALS as assessed by a change in neurological status [Time Frame: Baseline and 10 days after scan] Safety of use of [11C]CPPC in positron emission tomography (PET) neuroimaging of patients with a diagnosis of ALS. Safety will be assessed by neurological physical exam to determine if there is a change in the findings from baseline. Safety of use of [11C]CPPC in patients with ALS as assessed by a change in complete blood count (CBC) test [Time Frame: Baseline and 10 days after scan] Safety of use of [11C]CPPC in positron emission tomography (PET) neuroimaging of patients with a diagnosis of ALS. Safety will be assessed by monitoring of the complete blood count (CBC) for a change from baseline that is outside of the normal range. Safety of use of [11C]CPPC in patients with ALS as assessed by a change in complete metabolic panel (CMP) test [Time Frame: Baseline and 10 days after scan] Safety of use of [11C]CPPC in positron emission tomography (PET) neuroimaging of patients with a diagnosis of ALS. Safety will be assessed by a change in the CMP from baseline that is outside of the normal range.,,PET scan,396721,Safety/Toxicity > Adverse Drug Reactions Efficacy > Imaging Safety/Toxicity > Safety And Tolerability,Efficacy > Imaging,,I,,2,11,0,1,0,0,14,SAFETY,0,0,0,0
PET scan,0,,,AAAS4926 NCT04575727,Biodistribution of [11C]MPC6827 [Time Frame: up to 48 hours from injection] Total body residence time and visual examination of whole body PET/CT images will be used to determine biodistribution of [11C]MPC6827. Estimation of clearance of [11C]MPC6827 [Time Frame: Up to 48 hours from injection] Serial venous blood draws (about 5 ml per sample) will be taken for estimation of clearance of [11C]MPC6827.,,,386127,Efficacy > Imaging,,,I,,1,0,0,1,0,1,3,EFFICACY,0,0,0,0
Magnetic Resonance Imaging PET scan,0,,"Determine the longitudinal changes in brain inflammation in people with ALS in correlation with ALS severity and rate of progression. [ Time Frame: 12 months ] Determine the longitudinal changes in the anatomical, structural, and functional measures in people with ALS, and build ALS prediction models using the clinical and MRI data. [ Time Frame: 12 months ]",2015P000140 NCT02559869 TRACK-ALS,"Measure & localize brain inflammation in people with ALS via [18F] GE-180 PET imaging. [ Time Frame: 12 months ] Define anatomical, structural, and functional changes in the brain via MRI of ALS Subjects vs. Healthy Controls at Baseline [ Time Frame: 12 months ] Determine systemic inflammatory factors that may modify the progression or other clinical or imaging correlates of ALS. [ Time Frame: 12 months ]",,Magnetic Resonance Imaging,265102,Efficacy > Imaging Efficacy > Imaging,Efficacy > Imaging,,(N/A),,2,0,2,0,2,0,6,EFFICACY,0,0,0,0
