reached_phase_3_plus,Actual Accrual (% of Target),Enrollment Close Date,Start Date,Actual Accrual (No. of patients),Primary Endpoints Reported Date,Target Accrual,Treatment Duration (Mos.),Treatment Duration Type,Enrollment Duration Type,Trial.ID,Pts/Site/Mo,Primary Completion Date Type,Enrollment Close Date Type,Primary Endpoints Reported Date Type,Pts/Site/Mo Type,Start Date Type,Trial Phase,Primary Completion Date,Enrollment Duration (Mos.),Protocol/Trial ID,Last Full Review,Last Modified Date
1,,,8/9/23,,,3.0,,,,488577,,Anticipated,,,,Actual,Iv,12/31/24,,jRCTs051230064 TrialTroveID-488577,4/22/24,4/23/24
0,,,8/31/22,,,24.0,,,,479138,,Anticipated,,,,Actual,I,12/31/22,,DA350102 jRCT2071220047 TrialTroveID-479138,2/12/24,2/12/24
0,,,9/15/21,,,10.0,,,,415776,,Anticipated,,,,Actual,Ii,10/31/23,,DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,4/29/24,4/29/24
0,,,7/3/18,,,68.0,,,,412705,,Actual,,,,Actual,I,3/31/19,,DA301006 jRCT2071210022 TrialTroveID-412705,8/31/21,2/24/22
0,,5/1/23,5/1/21,,,40.0,6.0,Anticipated,Anticipated,324988,0.42,Anticipated,Anticipated,,Anticipated,Actual,I,10/31/23,24.0,DA350101 jRCT2071210023 TrialTroveID-324988,1/21/24,1/21/24
0,95.0,8/25/17,1/14/16,19.0,9/24/18,20.0,6.0,Actual,Actual,258694,0.33,Actual,Actual,Actual,Actual,Actual,Ii,2/23/18,19.35,EPI589-15-001 NCT02460679 TrialTroveID-258694,7/25/18,12/6/23
0,,11/13/24,1/6/21,,,56.0,1.58,Anticipated,Anticipated,331609,1.21,Anticipated,Anticipated,,Anticipated,Actual,I,12/31/24,46.25,EFBORAZ20141120 NCT03651349 TrialTroveID-331609,11/14/23,11/14/23
0,,,9/1/21,4.0,,,,,,396721,,Actual,,,,Actual,I,3/30/23,,IRB00263068 NCT04749433,,7/10/23
0,,,1/8/21,,,40.0,,,,386127,,Anticipated,,,,Actual,I,9/1/24,,AAAS4926 NCT04575727,,10/26/23
0,,,11/1/15,,,,,,,265102,,Actual,,,,Actual,(N/A),6/28/19,,2015P000140 NCT02559869 TRACK-ALS,,5/19/20
0,,,8/1/23,,,30.0,,,,471497,,Anticipated,,,,Anticipated,I,9/1/26,,18F-RoSMALS NCT05880563,,5/30/23
0,,,3/1/15,,,,,,,254890,,Anticipated,,,,Anticipated,(N/A),9/1/16,,MARIA NCT02405403 PHAO-13-PC/MARIA,,5/29/17
0,,,6/28/16,,,,,,,345363,,Actual,,,,Actual,I,2/7/18,,[18F]PBR06 NCT03876002,,3/22/19
0,,,6/4/18,,,,,,,323339,,Actual,,,,Actual,(N/A),7/31/19,,NCT03510572 PI-18001,,12/11/20
0,,,11/2/21,,,102.0,,,,432602,,Anticipated,,,,Actual,Iii,11/2/24,,13180640 NCT05374278,,9/18/23
0,,,2/1/14,,,,,,,232400,,Actual,,,,Actual,I,8/1/16,,MNI-777 NCT02103894,,12/15/16
0,,,9/1/94,,,,,,,223534,,,,,,Actual,(N/A),,,94-N-0205 940205 NCT00001972,,3/3/08
0,,,3/1/10,,,,,,,228826,,Actual,,,,Actual,I,1/1/15,,09-008772 NCT01623284,,12/21/15
0,,,9/1/09,,,,,,,230737,,Actual,,,,Actual,Ii,12/1/12,,18F-AV-45-010 NCT01890343,,9/16/14
1,,,4/1/08,,,8000.0,,,,241625,,Anticipated,,,,Actual,Iv,6/1/24,,08-005553 NCT00950430 R01AG011378 U01AG006786,,6/6/23
0,,,2/2/23,,,65.0,,,,433210,,Anticipated,,,,Actual,Iii,6/30/24,,NCT05395624 OP-801-001,,2/5/24
0,100.0,7/29/22,11/25/21,16.0,10/11/23,16.0,1.48,Actual,Actual,387398,1.98,Actual,Actual,Actual,Actual,Actual,Ii,9/12/22,8.09,ACTRN12621000864820 NCT05039268 TrialTroveID-387398 ZZ-3K3A-202,9/29/22,11/21/23
0,,,11/23/23,,,12.0,,,,480013,,Anticipated,,,,Actual,I,5/31/24,,2024-5148 NCT05974579,,11/29/23
0,110.0,10/2/18,7/31/17,33.0,,30.0,25.0,Anticipated,Anticipated,302891,0.78,Anticipated,Anticipated,,Anticipated,Actual,I,11/1/20,14.06,AC-TP-001 AIDA EudraCT Number: 2017-000643-41 NCT03174886 TrialTroveID-302891,1/28/22,1/28/22
0,33.0,12/31/17,4/14/15,2.0,,6.0,0.0,Actual,Actual,219951,0.06,Actual,Actual,,Actual,Actual,Iii,12/31/17,32.59,JMU-AAV-AADC-PD NCT02418598 TrialTroveID-219951 UMIN000017377,8/19/19,8/23/19
1,,12/2/23,2/24/22,,,390.0,24.0,Anticipated,Anticipated,364543,0.84,Anticipated,Anticipated,,Anticipated,Actual,Iii,12/1/25,21.22,EudraCT Number: 2020-005069-15 ISRCTN88446415 Lighthouse 2 LIGHTHOUSE 2 Lighthouse II LIGHTHOUSE II LIGHTHOUSEII NCT05193994 NL77109.041.21 TrialTroveID-364543,4/17/23,4/28/24
0,108.0,12/1/16,10/1/16,43.0,,40.0,12.0,Actual,Actual,284540,5.38,Actual,Actual,,Actual,Actual,Ii,12/1/17,2.0,CUR-101 Lighthouse NCT02868580 TrialTroveID-284540,9/26/18,2/18/22
0,,,,,3/7/24,,,,,513380,,,,Actual,,,I,,,TrialTroveID-513380,4/20/24,4/26/24
0,,,3/14/24,,,72.0,,,,508060,,Anticipated,,,,Actual,I,6/1/24,,M24-852 NCT06310876 TrialTroveID-508060,4/1/24,4/1/24
0,100.0,,12/19/23,18.0,,18.0,,,,493451,,Actual,,,,Actual,I,1/30/24,,M24-851 NCT06145607 TrialTroveID-493451,3/11/24,3/11/24
0,100.0,4/28/23,3/24/23,12.0,,12.0,0.33,Actual,Actual,461774,10.43,Actual,Actual,,Actual,Actual,I,5/8/23,1.15,M24-192 NCT05763459 TrialTroveID-461774,6/27/23,6/27/23
1,,3/2/24,3/23/23,,,300.0,6.0,Anticipated,Anticipated,459902,26.46,Anticipated,Anticipated,,Anticipated,Actual,Ii/Iii,9/1/24,11.34,2019P003518F HEALEY ALS Platform – Regimen F NCT05740813 TrialTroveID-459902,10/5/23,11/30/23
0,,,,125.0,3/2/23,,,,,396430,,,,Actual,,,I,,,TrialTroveID-396430,4/18/23,4/18/24
0,103.0,12/15/22,7/14/21,31.0,,30.0,0.92,Actual,Actual,396402,0.13,Actual,Actual,,Actual,Actual,I,1/12/23,17.06,CCR-21-30 M20-405 NCT04948645 TrialTroveID-396402,1/28/23,2/8/23
1,,,,34.0,4/21/15,,3.0,Actual,,255054,,,,Actual,,,Iv,,,TrialTroveID-255054,4/8/15,3/7/24
0,,,12/1/20,,12/1/21,,,,,345889,,,,Anticipated,,Anticipated,Ii,,,TrialTroveID-345889,8/31/23,2/24/24
0,,,,,,,,,,252392,,,,,,,Ii,,,TrialTroveID-252392,11/17/16,11/17/20
0,,,,,,,,,,188598,,,,,,,I,,,TrialTroveID-188598,5/9/16,11/17/20
1,,5/1/25,6/1/24,,,246.0,11.0,Anticipated,Anticipated,492004,2.04,Anticipated,Anticipated,,Anticipated,Anticipated,Ii/Iii,4/1/26,10.98,ALCALS NCT06126315 TrialTroveID-492004,11/14/23,4/28/24
0,,5/1/21,9/1/20,25.0,11/17/21,,6.0,Actual,Actual,423254,3.14,Actual,Actual,Actual,Actual,Actual,Ii,10/30/21,7.95,TrialTroveID-423254,1/21/22,2/8/22
