ClinicalTrials.gov Sites Count,reached_phase_3_plus,Protocol/Trial ID,Countries Count,ClinicalTrials.gov Location Country,Trial.ID,Countries,Reported Sites,Trial Region,Identified Sites,Trial Phase
,1,jRCTs051230064 TrialTroveID-488577,1.0,,488577,Japan,1.0,Asia,1.0,Iv
,0,DA350102 jRCT2071220047 TrialTroveID-479138,1.0,,479138,Japan,1.0,Asia,1.0,I
,0,DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,1.0,,415776,Japan,3.0,Asia,3.0,Ii
,0,DA301006 jRCT2071210022 TrialTroveID-412705,1.0,,412705,Japan,2.0,Asia,1.0,I
,0,DA350101 jRCT2071210023 TrialTroveID-324988,1.0,,324988,Japan,4.0,Asia,12.0,I
3,0,EPI589-15-001 NCT02460679 TrialTroveID-258694,1.0,United States,258694,United States,3.0,Americas; North America,3.0,Ii
1,0,EFBORAZ20141120 NCT03651349 TrialTroveID-331609,1.0,Taiwan,331609,"Taiwan, China",1.0,Asia,1.0,I
1,0,IRB00263068 NCT04749433,1.0,United States,396721,United States,1.0,Americas; North America,,I
1,0,AAAS4926 NCT04575727,1.0,United States,386127,United States,1.0,Americas; North America,,I
2,0,2015P000140 NCT02559869 TRACK-ALS,1.0,United States,265102,United States,,Americas; North America,,(N/A)
1,0,18F-RoSMALS NCT05880563,1.0,Switzerland,471497,Switzerland,1.0,Europe; Western Europe,,I
1,0,MARIA NCT02405403 PHAO-13-PC/MARIA,1.0,France,254890,France,,Europe; Western Europe,,(N/A)
1,0,[18F]PBR06 NCT03876002,1.0,United States,345363,United States,,Americas; North America,,I
1,0,NCT03510572 PI-18001,1.0,"Korea, Republic Of",323339,South Korea,,Asia,,(N/A)
1,0,13180640 NCT05374278,1.0,United States,432602,United States,1.0,Americas; North America,,Iii
1,0,MNI-777 NCT02103894,1.0,United States,232400,United States,,Americas; North America,,I
1,0,94-N-0205 940205 NCT00001972,1.0,United States,223534,United States,,Americas; North America,,(N/A)
1,0,09-008772 NCT01623284,1.0,United States,228826,United States,,Americas; North America,,I
1,0,18F-AV-45-010 NCT01890343,1.0,United Kingdom,230737,United Kingdom,,Europe; Western Europe,,Ii
1,1,08-005553 NCT00950430 R01AG011378 U01AG006786,1.0,United States,241625,United States,1.0,Americas; North America,,Iv
3,0,NCT05395624 OP-801-001,1.0,United States,433210,United States,3.0,Americas; North America,,Iii
1,0,ACTRN12621000864820 NCT05039268 TrialTroveID-387398 ZZ-3K3A-202,1.0,Australia,387398,Australia,1.0,Australia/Oceania,1.0,Ii
1,0,2024-5148 NCT05974579,1.0,Canada,480013,Canada,1.0,Americas; North America,,I
3,0,AC-TP-001 AIDA EudraCT Number: 2017-000643-41 NCT03174886 TrialTroveID-302891,1.0,Germany,302891,Germany,3.0,Europe; Western Europe,3.0,I
1,0,JMU-AAV-AADC-PD NCT02418598 TrialTroveID-219951 UMIN000017377,1.0,Japan,219951,Japan,1.0,Asia,2.0,Iii
8 3,1,EudraCT Number: 2020-005069-15 ISRCTN88446415 Lighthouse 2 LIGHTHOUSE 2 Lighthouse II LIGHTHOUSE II LIGHTHOUSEII NCT05193994 NL77109.041.21 TrialTroveID-364543,7.0,Australia New Zealand,364543,Australia; Belgium; Ireland; Netherlands; Spain; Sweden; United Kingdom,22.0,Australia/Oceania; Europe; Western Europe,34.0,Iii
4,0,CUR-101 Lighthouse NCT02868580 TrialTroveID-284540,1.0,Australia,284540,Australia,4.0,Australia/Oceania,12.0,Ii
,0,TrialTroveID-513380,,,513380,,1.0,(N/A),,I
1,0,M24-852 NCT06310876 TrialTroveID-508060,1.0,United States,508060,United States,1.0,Americas; North America,1.0,I
1,0,M24-851 NCT06145607 TrialTroveID-493451,1.0,United States,493451,United States,1.0,Americas; North America,,I
1,0,M24-192 NCT05763459 TrialTroveID-461774,1.0,United States,461774,United States,1.0,Americas; North America,1.0,I
1,1,2019P003518F HEALEY ALS Platform – Regimen F NCT05740813 TrialTroveID-459902,1.0,United States,459902,United States,1.0,Americas; North America,2.0,Ii/Iii
,0,TrialTroveID-396430,,,396430,,,(N/A),,I
7 7,0,CCR-21-30 M20-405 NCT04948645 TrialTroveID-396402,2.0,Canada United States,396402,Canada; United States,14.0,Americas; North America,16.0,I
,1,TrialTroveID-255054,1.0,,255054,Italy,,Europe; Western Europe,1.0,Iv
,0,TrialTroveID-345889,,,345889,,,(N/A),,Ii
,0,TrialTroveID-252392,,,252392,,,(N/A),,Ii
,0,TrialTroveID-188598,,,188598,,,(N/A),,I
,1,ALCALS NCT06126315 TrialTroveID-492004,2.0,,492004,Australia; Italy,11.0,Australia/Oceania; Europe; Western Europe,1.0,Ii/Iii
,0,TrialTroveID-423254,1.0,,423254,Italy,1.0,Europe; Western Europe,1.0,Ii
,0,TrialTroveID-166423,1.0,,166423,Italy,16.0,Europe; Western Europe,23.0,Ii
,0,TrialTroveID-147362,,,147362,,,(N/A),,I
,0,3303 EudraCT Number: 2004-004158-23 FARM5LRKR9 TrialTroveID-109501,1.0,,109501,Italy,16.0,Europe; Western Europe,27.0,Ii
,0,TrialTroveID-415000,,,415000,,,(N/A),,Iii
1,0,NCT03500627 OP-101-002 TrialTroveID-322747,1.0,United States,322747,United States,1.0,Americas; North America,1.0,I
1 1 5 1 1 1 3 1,1,BASEC2022-00638 EudraCT Number: 2021-005356-10 IB1001-301 NCT05163288 NL79787.018.21 SNCTP000005101 TrialTroveID-421082,8.0,Australia Czechia Germany Netherlands Slovakia Switzerland United Kingdom United States,421082,Australia; Czech Republic; Germany; Netherlands; Slovakia; Switzerland; United Kingdom; United States,16.0,Americas; Australia/Oceania; Eastern Europe; Europe; North America; Western Europe,21.0,Iii
2 1 1 4 1,0,EudraCT Number: 2018-004331-71 IB1001-201 NCT03759639 TrialTroveID-337946,5.0,Germany Slovakia Spain United Kingdom United States,337946,Germany; Slovakia; Spain; United Kingdom; United States,9.0,Americas; Eastern Europe; Europe; North America; Western Europe,16.0,Ii
2,0,AIH in ALS NCT03645031 OCR18018 TrialTroveID-363683,1.0,United States,363683,United States,2.0,Americas; North America,1.0,Ii
,0,02-(AdeVask)-2014 TrialTroveID-255731,1.0,,255731,Russia,1.0,Eastern Europe; Europe,1.0,Ii
1,0,ADIPOSTEM DPO/014/33/09/2015 NCT03296501 TrialTroveID-310121,1.0,Poland,310121,Poland,1.0,Eastern Europe; Europe,2.0,I
,0,TrialTroveID-098220,1.0,,98220,United States,1.0,Americas; North America,1.0,I
,0,Study 102 TrialTroveID-078903,1.0,,78903,United States,5.0,Americas; North America,,I
,0,Study 101 TrialTroveID-078887,1.0,,78887,United States,,Americas; North America,,I
,1,TrialTroveID-403861,1.0,,403861,South Korea,1.0,Asia,10.0,Iii
,0,TrialTroveID-109688,3.0,,109688,Finland; United Kingdom; United States,,Americas; Europe; North America; Western Europe,4.0,Ii
,0,TrialTroveID-483042,1.0,,483042,United States,,Americas; North America,,I
1,0,EudraCT number: 2014-001327-71 IMODALS LOCAL/2014/WC-01 NCT02059759 TrialTroveID-202570,1.0,France,202570,France,1.0,Europe; Western Europe,14.0,Ii
1,0,NCT06395038 PRO00037661 TrialTroveID-515031,1.0,United States,515031,United States,1.0,Americas; North America,,I
1,0,NCT06307301 PRO00031998 TrialTroveID-507665,1.0,United States,507665,United States,1.0,Americas; North America,1.0,I
,0,TrialTroveID-297957,1.0,,297957,United States,,Americas; North America,3.0,I
2,0,NCT04055623 Pro00022167 Tregs in ALS TrialTroveID-355351,1.0,United States,355351,United States,2.0,Americas; North America,4.0,Ii
1,0,NCT03241784 TrialTroveID-306643,1.0,United States,306643,United States,2.0,Americas; North America,4.0,I
10 7,0,EudraCT Number: 2015-005347-14 H2020/PHRC-N/2014/GB-01 MIROCALS NCT03039673 TrialTroveID-294523,4.0,France United Kingdom,294523,France; Italy; Sweden; United Kingdom,17.0,Europe; Western Europe,26.0,Ii
,1,TrialTroveID-415777,,,415777,,,(N/A),,Ii/Iii
