Disease,reached_phase_3_plus,Trial Title,Therapeutic Area,Record URL,Protocol/Trial ID,Trial Status,MeSH Term,Trial.ID,Study Keywords,Trial Objective,Study Design,Trial Phase,Record Type,biomarker_diagnostic,biomarker_predictive,biomarker_prognostic,biomarker_predisposing,biomarker_total_uses,biomarker_count,has_neurofilament,has_nfl,has_tau,has_tdp-43,has_sod1,has_c9orf72,has_creatinine,has_albumin,has_inflammatory,Trial Outcomes,endpoint_efficacy,endpoint_safety,endpoint_functional,endpoint_biomarker,endpoint_survival,endpoint_pharmacokinetic,endpoint_total_categories,endpoint_primary_category,outcome_positive,outcome_negative,outcome_terminated,outcome_completed
CNS: Amyotrophic Lateral Sclerosis,1,Safety of EPI-589 re-administration for amyotrophic lateral sclerosis,Cns,https://clinicalintelligence.citeline.com/trials/details/488577?qId=da896876-a29f-4f89-8e03-cde11c10782a,jRCTs051230064 TrialTroveID-488577,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,488577,open label; safety; single arm,To Examine The Safety And Tolerability Of Re-Administering Epi-589 To Patients With Amyotrophic Lateral Sclerosis (Als) Who Have Previously Received Epi-589.,"An Interventional, Single Arm, Open Label, Safety And Tolerability Study",Iv,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,3,7,0,1,1,0,12,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Formulation Pharmacokinetics Study of EPI-589 (DA350102),Cns,https://clinicalintelligence.citeline.com/trials/details/479138?qId=da896876-a29f-4f89-8e03-cde11c10782a,DA350102 jRCT2071220047 TrialTroveID-479138,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,479138,cross over; open label; pharmacokinetics; randomized; safety,"To Evaluate The Safety And Tolerability Of Single Oral Administration Of Epi-589 (Test Formulation And Current Formulation) To Healthy Adult Males. In Addition, The Pharmacokinetics Of Epi-589 (Test And Current Formulations) After Single Oral Administration Will Be Compared.","A Interventional, Safety, Randomized Controlled, Pharmacokinetics, Crossover, Open (Masking Not Used) Trial.",I,Trialtrove,1,0,1,1,3,2.0,0,0,0,0,0,0,0,0,0,,0,13,0,1,0,1,15,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,EPI-589 Early Phase 2 Investigator-initiated Clinical Trial for ALS (EPIC-ALS),Cns,https://clinicalintelligence.citeline.com/trials/details/415776?qId=da896876-a29f-4f89-8e03-cde11c10782a,DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,415776,efficacy; open label; safety; single arm,"To Investigate The Safety Of Administration Of Epi-589 In Patients With Amyotrophic Lateral Sclerosis (Als), And Explore The Biomarkers And Efficacy. To Assess The Safety And Explore The Efficacy And Biomarkers Of Epi-589 In Patients With Als.","An Interventional; Efficacy; Safety, Open Label And Single Arm Study",Ii,Trialtrove,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,"Completed, Outcome unknown",4,13,0,6,2,0,25,SAFETY,0,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,Clinical pharmacology study of EPI-589 (DA301006),Cns,https://clinicalintelligence.citeline.com/trials/details/412705?qId=da896876-a29f-4f89-8e03-cde11c10782a,DA301006 jRCT2071210022 TrialTroveID-412705,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,412705,double blind/blinded; pharmacokinetics; placebo control; randomized; safety,"To Investigate The Safety, Tolerability, Pharmacokinetics, And Dietary Effects Of A Single Oral Dose Of Epi-589 In Healthy Japanese Adult Males. We Will Also Examine The Safety, Tolerability, And Pharmacokinetics Of Repeated Oral Administration Of Epi-589 To Japanese And Healthy Caucasian Adult Males. Furthermore, The Safety, Tolerability, And Pharmacokinetics Of A Single Dose Of Epi-589 Given To Two Healthy Adult Males Will Be Investigated.","A Randomized, Double-Blind, Placebo-Controlled, Parallel Assignment Phase I Trial",I,Trialtrove,1,0,1,1,3,1.0,0,0,0,0,0,0,0,0,0,,0,13,0,1,0,1,15,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,Clinical Pharmacology Study of EPI-589 (DA350101),Cns,https://clinicalintelligence.citeline.com/trials/details/324988?qId=da896876-a29f-4f89-8e03-cde11c10782a,DA350101 jRCT2071210023 TrialTroveID-324988,Open,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,324988,dose response; double blind/blinded; multiple arm; pharmacokinetics; placebo control; randomized; safety,"To Evaluate The Safety And Tolerability Of Repeated Oral Doses Of Epi-589 In Healthy Adult Males. In Addition, The Pharmacokinetics Of Epi-589 After Repeated Oral Administration Of Epi-589 To Healthy Japanese Adult Males Will Be Evaluated, And The Pharmacokinetics Of Healthy Japanese And Caucasian Adult Males Will Be Compared.",A Double Blind/Blinded; Multiple Arm; Pharmacokinetics; Placebo Control; Randomized; Safety; Dose Response And Tolerability Study.,I,Trialtrove,1,1,1,1,4,3.0,0,0,0,0,0,0,0,0,0,,0,13,0,1,0,1,15,SAFETY,0,0,0,0
CNS: Amyotrophic Lateral Sclerosis,0,A Phase 2A Safety and Biomarker Study of EPI-589 in Subjects With Amyotrophic Lateral Sclerosis,Cns,https://clinicalintelligence.citeline.com/trials/details/258694?qId=da896876-a29f-4f89-8e03-cde11c10782a,EPI589-15-001 NCT02460679 TrialTroveID-258694,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,258694,efficacy; open label; pharmacokinetics; safety; single arm,"To Study Epi-589 In Amyotrophic Lateral Sclerosis Subjects. To Assess Epi-589'S Safety, Tolerability, And Pharmacology In A Cohort Of Als Patients Already Receiving Medications For Als.","Study Type: Interventional (Clinical Trial) Actual Enrollment: 20 Participants Intervention Model: Single Group Assignment Masking: None (Open Label) Primary Purpose: Treatment A Pharmacokinetic, Phase 2A, Biomarker, Safety, Tolerability, Efficacy Study.",Ii,Trialtrove,1,0,1,0,2,1.0,0,0,0,0,0,0,0,0,0,"Completed, Positive outcome/primary endpoint(s) met",8,23,3,7,4,6,51,SAFETY,1,0,0,1
CNS: Amyotrophic Lateral Sclerosis,0,A Phase I Study to Determine the Maximum Tolerated Dose (MTD) of HK-001 and to Evaluate Its Pharmacokinetic Profile in Healthy Volunteers,Cns,https://clinicalintelligence.citeline.com/trials/details/331609?qId=da896876-a29f-4f89-8e03-cde11c10782a,EFBORAZ20141120 NCT03651349 TrialTroveID-331609,Closed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease,331609,double blind/blinded; multiple arm; pharmacokinetics; placebo control; randomized; safety; single ascending dose,To Evaluate The Maximum Tolerated Dose Of Hk-001 And To Evaluate Its Pharmacokinetic Profile In Healthy Volunteers.,"Study Type: Interventional (Clinical Trial) Allocation: Randomized Intervention Model: Parallel Assignment Masking: Double (Participant, Investigator) Primary Purpose: Treatment A Phase I, Placebo Control, Multiple Arm, Single Ascending Dose, Safety, Pharmacokinetics And Tolerability Study.",I,Trialtrove,1,1,1,1,4,2.0,0,0,0,0,0,0,0,1,0,,0,19,0,2,0,2,23,SAFETY,0,0,0,0
Unassigned,0,A Phase 1 Study to Assess the Safety and Tolerability of PET Imaging With [11C]CPPC [5-cyano-N-(4-(4-[11C]Methylpiperazin-1-yl)-2-(Piperidin-1-yl)Phenyl)Furan-2-carboxamide] Radioligand in Patients With Amyotrophic Lateral Sclerosis,Unassigned,https://clinicalintelligence.citeline.com/trials/details/396721?qId=da896876-a29f-4f89-8e03-cde11c10782a,IRB00263068 NCT04749433,Terminated,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,396721,,The Goal Of This Study Is To Evaluate The Safety Of Using The [5-Cyano-N-(4-(4-[11C]Methylpiperazin-1-Yl)-2-(Piperidin-1-Yl)Phenyl)Furan-2-Carboxamide] ([11C]Cppc) Radiotracer In Positron Emission Tomography (Pet) Imaging Of People With Amyotrophic Lateral Sclerosis (Als). The Investigators Are Also Interested To See Whether Use Of This Radiotracer Reveals Imaging Differences Between Patients With Als And Healthy Patients.,"Allocation : Non-Randomized Intervention Model : Parallel Assignment Intervention Model Description : There Will Be Two Groups Of Participants In This Study, Healthy Control Participants And Participants With A Diagnosis Of Als. All Patients Will Receive The Same Radiotracer And Scan. Masking : None (Open Label) Primary Purpose : Diagnostic",I,Registry Only,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,2,11,0,1,0,0,14,SAFETY,0,0,0,0
Unassigned,0,Exploratory Evaluation of [11C]MPC6827 Pharmacokinetics With Positron Emission Tomography (PET),Unassigned,https://clinicalintelligence.citeline.com/trials/details/386127?qId=da896876-a29f-4f89-8e03-cde11c10782a,AAAS4926 NCT04575727,Open,Alzheimer Disease; Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Neurodegenerative Diseases,386127,,"This Is A Phase 0 Study That Will Enable An Assessment Of Biodistribution And Estimation Of Absorbed Dose In Humans Based On Data Collected From Five Healthy Volunteers, Which Is Typically The Minimum Number Required By The Fda For First-In-Human Studies To Assess Dosimetry Of A New Tracer. The Evaluation Of The Brain Imaging Of Thirty Additional Subjects In The 2Nd Part Of The Study Will Lead To A Descriptive Assessment Of The Targeting And Pharmacokinetics Of Mpc6827 In The Brain And Between Normal And Diseased Brain.",Allocation : Non-Randomized Intervention Model : Single Group Assignment Masking : None (Open Label) Primary Purpose : Basic Science,I,Registry Only,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,1,0,0,1,0,1,3,EFFICACY,0,0,0,0
Unassigned,0,Imaging and BioFluid Biomarkers in Amyotrophic Lateral Sclerosis,Unassigned,https://clinicalintelligence.citeline.com/trials/details/265102?qId=da896876-a29f-4f89-8e03-cde11c10782a,2015P000140 NCT02559869 TRACK-ALS,Completed,Amyotrophic Lateral Sclerosis; Motor Neuron Disease; Sclerosis,265102,,"Brief Summary: This Is A Multicenter, 18-Month Study, Which Aims To Identify Imaging And Biofluid Biomarkers In People With Als To Expand The Understanding Of Als Pathology, Treatment Targets, Disease Progression, And Anatomical Differences Between Different Disease Phenotypes. This Pilot Project Is Tailored To Produce Imaging Tools That Will Allow Researchers To Conduct Future Als Clinical Trials More Efficiently Which May In Turn Impact The Pace For Als Drug Discovery. Detailed Description: In This Trial, Approximately 200 Subjects Will Participate In This Study From 2 Northeast Als Consortium (Neals) Centers In The United States. Fifty (50) Als Participants Will Be Age And Gender Matched To 50 Participants With No Known Neurological Disorder (Healthy Controls). Of These, Twenty Five (25) Als Participants Will Be Age (??5 Years) Gender And Binding Affinity (Tspo) Matched To 25 Healthy Controls. During The Enrollment Period 200 Participants Will Be Screened And 100 Participants Will Ultimately Be Scanned. There Will Be A Maximum Allowed Time Of 45 Days Between The Screening And Baseline Visits (1St Scan). All 100 Subjects Will Undergo Mri Scanning And Clinical Assessment At The Baseline Visit. Healthy Control Participants Will Have No Further Follow-Up Visits Once They Have Completed Their Participation In The Screening And Baseline Visits. Only 50 Subjects From This Sample Will Undergo Pet Scanning. The Als Participants Will Return For Follow-Up Mri Scanning And Clinical Assessments Every Three Months And Follow-Up Pet Scanning Every 6 Months Over A 12-Month Period.",,(N/A),Registry Only,1,0,1,1,3,2.0,0,0,0,0,0,0,0,0,0,,2,0,2,0,2,0,6,EFFICACY,0,0,0,0
