reached_phase_3_plus,Patient Population,Inclusion Criteria,Protocol/Trial ID,Patient Age Group,Min Patient Age Unit,Max Patient Age Unit,Trial.ID,Patient Segment,Max Patient Age,Min Patient Age,Exclusion Criteria,Trial Phase,Patient Gender
1,Patients with amyotrophic lateral sclerosis,"1) Patients who have given written informed consent to participate in this clinical study (or patients for whom a signature was obtained by a proxy, in case patients who have the ability to consent but are unable to sign the consent form in their own handwriting due 2) Patients who have entered the investigator-initiated clinical trial (DA350103) and have received EPI-589 for about 24 weeks, and have had no concerns with safety or tolerability. 3) Patients who can go to outpatient clinic",jRCTs051230064 TrialTroveID-488577,Adults; Older Adults,year(s),,488577,Unspecified,,18.0,"1) Patients who have clinically significant complications or medical history other than ALS, and who are judged to be inappropriate for clinical study by the investigator. 2) Patients with psychiatric disorders, cognitive impairment, or Parkinson's disease. 3) Patients undergoing tracheostomy. 4 ) Patients wearing a non-invasive respiratory support device all day (wearing for 22 hours or more). 5) Patients with a history of or complication of drug allergy or severe allergic disease (anaphylactic shock, etc.). 6) Patients who have a malignant tumor or have a medical history within 5 years before obtaining informed consent. 7) Patients whose AST and ALT levels were 3 times or more higher than the upper limit of normal at the time of screening. 8) Patients with CK =>2.5 times the upper limit of normal at screening. 9) Patients with estimated glomerular filtration rate (eGFR) less than 45 mL/min/1.73m2 at screening. 10) Pregnant women, lactating women, or patients who may be pregnant. 11) Patients or their partners wish to become pregnant, or patients who cannot agree to practice contraception during the period from the time of obtaining informed consent to 30 days after the last dose of the study drug. 12) Patients who participated in a clinical trial other than the investigator-initiated trial (DA350103) before consent was obtained, and 30 days had not passed since the administration of the test drug in the same clinical trial at the time of consent (half-life of the test drug in the same clinical trial If the number of days multiplied by 5 is longer than 30 days, the number of days 5 times the half-life must have passed), or patients participating or plan to participate in a clinical trial other than the investigator-initiated trial (DA350103) at the time of obtaining consent. 13) Patients who received cell therapy or gene therapy before obtaining informed consent. 14) Patients who are judged inappropriate participation in this clinical study by the investigator.",Iv,Both
0,Healthy subjects,"1) Healthy male Japanese subject between 20-55 years of age (inclusive) at the time of consent. 2) Subject who is fully informed and understands the objectives, procedures, anticipated drug effects/pharmacological action, and risks of the study and who 3) Subject with a body weight of between 50.0 kg and 80.0 kg, and a body mass index of at least 16 but lower than 25 at screenin. 4) Subject who is able to comply with the study requirements, including all assessments, physical examination, and reporting of symptoms. 5) Subject with partners of childbearing potential must be practicing abstinence consistently in their lifestyle or be willing to use acceptable and effective birth control from the initial study drug administration until at least 30 days after the last study drug administration . Educational level and degree of understanding of Japanese that enables them to communicate with investigators and study staff.",DA350102 jRCT2071220047 TrialTroveID-479138,Adults,year(s),year(s),479138,Healthy subjects,55.0,20.0,"1)Subject with a history of cardiovascular, hepatic, renal, endocrine, gastrointestinal, hematological, respiratory, psychiatric, or neurologic disease, and who was considered ineligible for the study by the investigator. 2)Subject with an abnormal 12-lead ECG that may jeopardize the subject's safety if he/she participates in the study, or a screening 12-lead ECG that demonstrated any one of the following: Heart rate > 100 bpm or < 50 bpm QRS interval > 120 msec QTcF > 450 msec PR interval > 200 msec 3)Subject who has a history of drug allergy. 4)Subject with any allergy or hypersensitivity to Coenzyme Q10 or Vitamin E. 5)Subject who has a positive immunology at screening. 6) Subject who has a clinically significant abnormality in hematology test, blood chemistry (serum) test, urinalysis, coagulation panel, or lipid panel at screening. 7 ) Subject who has a history of excessive alcohol consumption (roughly defined as drinking at least 1.3 L of beer or 360 mL of sake daily). 8)Subject who ordinarily drinks large quantities (approximately 1.8 L daily or more) of caffeinated beverages (coffee, tea, green tea, cola, tonic drink, etc.). 9) Subject with a history of tobacco dependency or subject who smokes, on average, more than 20 cigarettes daily. 10)Subject who previously received EPI-589. 11)Subject who has participated in an investigational drug study and received any investigational drug within 90 days prior to screening visit, or who is currently participating in another clinical trial. 12)Subject with a history of hospitalization within 45 days prior to screening visit (unless due to tests). 14) Subject with a history of alcohol or drug abuse, or a positive urine drug test at screening or on Period 1 Day -1 . 15)Subject who has a CK, myoglobin (serum and urine), AST, or ALT exceeding the ULN in blood chemistry (serum) test or urinalysis at screening, or who has a CK exceeding the ULN in blood chemistry (serum) test on Period 1 Day -1. 17) Subject who has used prescription or over-the-counter medications (including herbal supplements) within 14 days prior to the initial study drug administration . 18)Subject who consumed Coenzyme Q10 or Vitamin E drugs or supplements within 14 days prior to the initial study drug administration. 19 )Subject who consumed St. John's wort-containing foods or beverages within 14 days prior to the initial study drug administration. 20)Subject who consumed any foods or beverages containing grapefruit or Seville orange within 7 days prior to the initial study drug administration. 22) Subject who responds Yes to Item 4 or 5 of Suicidal ideation on the Columbia Suicide Severity Rating Scale on Period 1 Day -1 . 23)Subject with a positive severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) nucleic acid amplification test between Period 1 Day -8 and Day -1, or clinical symptoms suggestive of infection with SARS-CoV-2 . who is in the opinion of the investigator unsuitable in any other way to participate in this study.",I,Male
0,"Patients with amyotrophic lateral sclerosis (ALS) patients with a diagnosis of definite, probable, or laboratory-supported probable sporadic ALS in accordance with the revised El Escorial criteria.","(1) subjects providing written informed consent (Subject and representative providing written informed conset are needed, if the subject is under 20 years old.) (2) aged between 18 and 79 years at the time of informed consent (3) meet the revised El Escorial criteria for clinically definite, clinically probable laboratory-supported or clinically probable (4) within 18 months from symptom onset at screening (5) ALSFRS-R total score progression of <-0.3 (> 0.3 decline) / month between the onset and screening (If ALSFRS-R at the time of symptom onset is not determined, please set as 48 points) * progression rate is calculated as: (ALSFRS-R at the time of screening --ALSFRS-R at the time of onset) / duration from onset to screening (month). (6) scores of> = 2 points on all 12 items of ALSFRS-R (7) scores of 4 points on three items of respiratory subscore of ALSFRS-R (8) scores of> = 3 points in ALSFRS-R swallowing item ( 9) slow vital capacity (SVC)> = 80% (10) on a stable dose of riluzole for at least 30 day prior to registration for pre-observation period (11) ambulant (12) agreement for genetic research Other main inclusion criteria are patients whose initial symptom of ALS occurred within 1.5 years before screening and patients with ALS Functional Rating Scale-Revised (ALSFRS-R) score progression of >0.3/month.",DERR1-10.2196/42032 EPIC-ALS jRCT2061210031 TrialTroveID-415776,Adults; Older Adults,year(s),year(s),415776,Delay Disease Progression,79.0,18.0,"(1) with a complication or history of significant other medical conditions based on the investigator's judgment (2) complications of psychological disease, cognitive impairment, or Parkinson's disease (3) underwent tracheostomy (4) with experience of using invasive or noninvasive positive pressure ventilation (5) complications or history of drug allergy or severe allergic disease such as anaphylactic shock (6) malignancy within past five years at the time of informed consent (7) contraindications for lumbar puncture (8) contraindications for MRI including Magnetic Resonance Spectroscopy and Difusion Tensor Imaging (9) AST and ALT CK greater than 3 times upper limit of normal at screening (10) CK greater than 2.5 times upper limit of normal at screening (11) eGFR lower than 45 ml / min / 1.73m ^ 2 at screening (12) pregnant, nursing, or plan to get pregnant during the course of this clinical trial at screening (13) childbearing potential, or unwilling to use accepted methods of contraception (14) use of edaravone within 30 days from the start of pre-observation period (15) change the dosage or discontinuation of riluzole after informed consent (16) history of administration of EPI-589 (17) participation in a clinical trial before informed consent and within 30 days from investigational drug administration (If 5 times of the investigational drug half life is longer than 30 days, it should takes longer times than 5 times of the investigational drug half life) or willingness to participate for other clinical trial at the time of informed consent (18) history of cell therapy or gene therapy before infromed consent (19) ineligible for the clinical trial based on the investigator's judgment",Ii,Both
0,Healthy Japanese and Caucasian adult males,"1) Healthy male Japanese or Caucasian subjects between 20 and 55 years of age (inclusive) at the time of consent. 2) Subject who was fully informed and understood the objectives, procedures, anticipated drug effects / pharmacological action and risks of the study and who voluntarily provided written consent to participate in the study. 3) Subject's body weight was between 50.0 and 80.0 kg (Japanese) and 50.0 and 100.0 kg (Caucasian), and body mass index (BMI) was at least 16 kg / m2 but no more than 32 kg / m2 at Screening. 4) Subject who was able to comply with the study requirements, including physical examination, assessments, and reporting symptoms. 5) Subject with female partners of childbearing potential practiced abstinence, consistent with lifestyle or acceptable birth control from the time of signing informed consent until at least 30 days after the last study drug administration. 6) Subject possessed an educational level and degree of understanding of English or Japanese that enabled him to communicate appropriately with the Investigators and study coordinator.",DA301006 jRCT2071210022 TrialTroveID-412705,Adults,year(s),year(s),412705,Healthy subjects,55.0,20.0,"1) Subject with a history of cardiovascular, hepatic, renal, endocrine, gastrointestinal, hematological, respiratory, psychiatric, or neurologic disease, and who were considered ineligible for the study by the Investigator. 2) Subject with a clinically significant abnormal 12-lead ECG that may have jeopardized the subject's ability to complete the study or a Screening 12-lead ECG that demonstrated any 1 of the following: heart rate> 100 beats per minute, QT interval corrected for heart rate using Fridericia correction> 450 msec. 3) Subject who had a history of drug allergy. 4) Subject with any allergy or hypersensitivity to Coenzyme Q10 or Vitamin E supplements. 5) Subject with a history of substance abuse including alcohol and drugs, or a positive urine drug test at Screening. 6) Subject who had a positive immunology at Screening [Hepatitis B surface antigen, Hepatitis C virus antibody, syphilis serological testing, human immunodeficiency virus antibody / antibody]. 7) Subject with any clinically significant abnormal physical examination, clinical laboratory values, vital signs , And 12-Lead ECG Findings At Screening. 8) Subject Who Was Abusing Or Suspected To Be Abusing Alcohol. 9) Subject Who Ordinarily Consumed Large Quantities Of Caffeinated Beverages (Coffee, Tea, Green Tea, Cola, Tonic Drink, Etc). 10) Subject with a history of tobacco dependency or subject who smoked a mean of more than 20 cigarettes daily. 11) Subject who previously received EPI-589. 12) Subject who had participated in an investigational drug study and received any investigational drug within 90 days prior to Screening, or who was participating in another clinical study during the conduct of this study. 13) Subject who had experienced significant blood loss or donated blood (> 400 mL) within 90 days or donated 200 mL of blood or more within 30 days prior to the initial study drug administration (Day 1). Subject who had donated blood components within 14 days prior to the initial study drug administration (Day 1). ) Or intended to donate blood components or blood within 30 days after the last study visit. 14) Subject with a history of hospitalization (except for hospitalization for tests) within 45 days prior to Screening. 15) Subject with a disorder or history of a condition (such as malabsorption and gastrointestinal surgery) that may have interfered with drug absorption, distribution, metabolism, or excretion, or a clinically significant abnormality of the hepatic or renal system. 16) Subject who had consumed coenzyme Q10 or Vitamin E supplements within 14 days prior to the initial study drug administration (Day 1). 17) Subject who had consumed St. John's wort-containing foods or beverages within 14 days prior to the initial study drug administration (Day 1). 1). 18) Subject who had consumed grapefruit or grapefruit-containing juices within 7 days prior to the initial study drug administration (Day 1). 19) Subject who had used prescription or over-the-counter medications within 14 days prior to the initial study drug administration (Day 1). 20) Subject who had consumed alcohol on the day before Screening or subsequently and 2 days before the initial study drug administration (Day 1) and thereafter. 21) Subject who was in the opinion of the Investigators unsuitable in any other way to participate in this study.",I,Male
0,Healthy Subjects,"1) Male Japanese or Caucasian subject between 20-55 years of age (inclusive) at the time of consent. 2) Subject who is fully informed and understands the objectives, procedures, anticipated drug effects / pharmacological action, and risks of the study and who voluntarily provides written consent to participate in the study. 3) Subject with a body weight of between 50.0 kg and 80.0 kg (Japanese) and 50.0 kg and 100.0 kg (Caucasian), and a body mass index of at least 16 kg / m2 but no more than 32 kg / m2 at screening (body mass index is defined as the subject's body weight in kilograms divided by the square of the subject's height in meters). 4) Subject who is able to comply with the study requirements, including all assessments, physical examination, and reporting of symptoms. 5) Male subject with female partners of childbearing potential must be practicing abstinence consistently in their lifestyle or be willing to use acceptable and effective birth control from the time of signing informed consent until at least 30 days after the last study drug administration. 6) Subject must possess an educational level and degree of understanding of English or Japanese that enables them to communicate suitably with investigators and study staff.",DA350101 jRCT2071210023 TrialTroveID-324988,Adults,year(s),year(s),324988,Healthy subjects,55.0,20.0,"1) Subject with a history of cardiovascular, hepatic, renal, endocrine, gastrointestinal, hematological, respiratory, psychiatric, or neurologic disease, and who was considered ineligible for the study by the investigator. 2) Subject with a clinically significant abnormal 12-lead ECG that may jeopardize the subject's ability to complete the study, or a screening 12-lead ECG that demonstrated any one of the following: --Heart rate> 100 bpm or <50 bpm --QRS interval> 120 msec --QTcF> 450 msec (QTcF) = QT / RR1 / 3) --PR interval> 200 msec 3) Subject who has a history of drug allergy. 4) Subject with any allergy or hypersensitivity to Coenzyme Q10 or Vitamin E supplements. 5) Subject who has a positive immunology at screening .. 6) Subject who has a clinically significant abnormality in hematology test or blood chemistry (serum) test, or urinalysis at screening. 7) Subject who has a history of excessive alcohol consumption (roughly defined as drinking at least 1.3 L of beer or 360 mL Sake Daily Of). 8) Subject Who Ordinarily Drinks Large Quantities (Approximately 1.8 L Daily Or More) Of Caffeinated Beverages (Coffee, Tea, Green Tea, Cola, Tonic Drink, Etc.). 9) Subject With A History Of Tobacco Dependency or subject who smokes, on average, more than 20 cigarettes daily. 10) Subject who previously received EPI-589. 11) Subject who has participated in an investigational drug study and received any investigational drug within 90 days prior to screening visit, or who is currently participating in another clinical trial. 12) Subject with a history of hospitalization (unless due to tests) within 45 days prior to screening visit. 13) Subject with a disorder or history of a condition (such as malabsorption and gastrointestinal surgery) that may interfere with drug absorption, distribution, growth, or excretion or a clinically significant abnormality of the hepatic or renal system. 14) Subject with a history of substance abuse including alcohol or drug, or a positive urine drug test at screening or on the day before the initial study drug administration (Day -1). 15) Subject who has a CK, myoglobin (serum and urine), AST, or ALT exceeding the upper limit of normal in blood chemistry (serum) test or urinalysis at screening, or who has a CK exceeding the upper limit of normal in blood chemistry (serum) test on the day before the initial study drug administration (Day -1). 16) Subject who has experienced significant blood loss or donated blood (> 400 mL) within 90 days or donated 200 mL of blood or more within 30 subjects who has donated blood components within 14 days prior to the initial study drug administration (Day 1) or intends to donate blood components or blood within 30 days after the last study visit. 17) Subject who consumed Coenzyme Q10 or Vitamin E supplements within 14 days prior to the initial study drug administration (Day 1). 18) Subject who consumed St. John's wort-containing foods or beverages within 14 days prior to the initial study drug administration (Day 1). 19) Subject who consumed grapefruit or grapefruit-containing juices within 7 days prior to the initial study drug administration (Day 1). 20) Subject who has used prescription or over-the-counter medications (including herbal supplements) within 14 days prior to the initial study drug administration (Day 1). 21) Subject who has consumed alcohol between the day before and the time of screening test or 2 days before the initial study drug administration (Day 1) and subsequently. 22) Subject who responds ""Yes"" to Item 4 or 5 of ""Suicidal ideation"" on the Columbia Suicide Severity Rating Scale on Day -1. 23) Subject with a positive severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) nucleic acid acid amplification test between Day -3 and Day -1, or clinical symptoms suggestive of infection with SARS-CoV-2. 24) Subject who is in the opinion of the investigator unsuitable in any other way to participate in this study.",I,Male
0,Subjects With Amyotrophic Lateral Sclerosis.,"Diagnosis of possible, probable, laboratory supported probable, or definite ALS by E1 Escorial Criteria Forced vital capacity (FVC) = 70% of predicted Weakness onset within 3 years Agreement to use contraception if within reproductive years Willingness and ability to comply with study procedures Stable regimen of dietary supplements and /or riluzole for at least 30 days prior to enrollment Abstention from use of other investigative or non-approved drugs Participants must be able to swallow 0.375 * 0.700 inch tablets",EPI589-15-001 NCT02460679 TrialTroveID-258694,Adults; Older Adults,year(s),year(s),258694,Delay Disease Progression,70.0,21.0,"Allergy to EPI-589 Use of ventilation Participation in other intervention studies Diagnosis of any other neurologic disease Malignancy within the past 2 years History of stroke History of brain surgery Hepatic insufficiency with liver function tests (LFTs) greater than 3 times upper limit of normal (ULN) Renal insufficiency requiring dialysis End stage cardiac failure Participation in a trial of a device, drug, or other therapy for ALS within 3 months of screening or during the trial",Ii,Both
0,Healthy volunteers,"Subject's age is no less than 20 years old. Subjects whose body mass index (BMI) at screening is within a range of > or =18.5 kg/m2 and <25.0 kg/m2. BMI = Body Weight (kg) / [Height (m)]2 And body weight is not less than 50 kg and 45 kg for males and females, respectively. Subject's medical history shows no contraindication to the test medications [hypersensitivity to (Z)-BP or any component of test and reference products]. Subjects who are judged to be in good health by the investigator based upon the results of physical examinations (PEs) and chest X-ray (within 60 days prior to the first study dose), and all items of routine laboratory tests, including serum biochemistry, hematology and urinalysis, are within normal range as judged by the site. Assessment items of blood biochemistry include electrolytes (sodium, potassium, chloride, calcium, phosphorus), albumin, total cholesterol, total bilirubin, ALP, SGOT, SGPT, GGT, BUN, PT, APPT, serum creatinine, triglyceride, glucose, amylase, lipase, ACTH, aldosterone, cortisol, T3, free T4, TSH, and uric acid. Assessment items of hematology tests include red blood cell (RBC), white blood cell (WBC) and platelet count; differential WBC count including neutrophils, lymphocytes, monocytes, eosinophils, and basophils; hemoglobin, and hematocrit. Assessment items of urinalysis include appearance, gravity, pH, erythrocyte, leukocyte, epithelial cells, glucose, protein, ketones, and nitrite Female subjects show negative pregnancy test results within 30 days prior to the first study dose. Subjects did not take any of the following medications in the specified durations: Any medication (except contraceptives) within 14 days prior to the first dose of the study Any enzyme inducer or inhibitor within 30 days prior to the first dose of the study Subjects understood and have signed the written informed consent form.",EFBORAZ20141120 NCT03651349 TrialTroveID-331609,Adults; Older Adults,year(s),,331609,Healthy subjects,,20.0,"Subjects with any properly diagnosed disease within 30 days prior to the first dose of the study Subjects with a clinically significant hematological, endocrinal, cardiovascular, hepatic, renal, gastrointestinal, and/or pulmonary disorders; subjects with any predisposing condition that might interfere with the absorption, distribution, metabolism and excretion of drugs; subjects who have had any previous gastrointestinal surgery, except appendectomy if performed >90 days prior to the first dose of the study Subjects who have received any known hepatic or renal clearance-altering agents (e.g., erythromycin, cimetidine, barbiturates, phenothiazine, clarithromycin, trolearndomycin, ketoconazole, miconazolem fluconazole, itraconazole) for a period of up to 30 days prior to the first dose of the study Subjects had participated in investigational drug trials and took any investigational drugs within 60 days prior to the first study dose. Subjects had blood donation for more than 250 mL within 60 days prior to the first dose of the study. Subjects had a history of drug abuse or alcohol abuse according to DSM IV criteria. Subjects who are smokers or have smoking history Subjects who cannot stop caffeine-intakes for 48 hours prior to the first study dose and during the entire study period. Subjects who are pregnant or lactating For enrollment of female subjects with child-bearing potential, the subject must be practicing sexual abstinence or be using and willing to continue to use a medically acceptable form of birth control for at least 1 month prior to screening (that period will extend to 3 months for oral contraceptive use) and for at least 30 days after the last dose of study drug. For a subject to be considered not to be of child-bearing potential, she must have been amenorrheic for at least 2 years, or must have had a hysterectomy, a bilateral tubal ligation, and/or a bilateral oophorectomy (as determined by the medical history). The male partner of a female study subject with childbearing potential must use a condom and ensure that his partner uses a suitable method of contraception as outlined above. Subjects who are inappropriate to participate in this study, as judged by the clinical investigator Subjects who have been tested positive for the following tests: Human immunodeficiency virus (HIV) Hepatitis B virus (HBV) Hepatitis C virus (HCV)",I,Both
0,,"1. Have the ability to understand the requirements of the study, provide written informed consent, understand and provide written authorization for the use and disclosure of Protected Health Information (PHI) [per Health Insurance Portability and Accountability Act (HIPAA) Privacy Ruling] and comply with the study procedures. 2. Men and women at least 18 years old. 3. Women must have a negative serum pregnancy test and practice an acceptable method of contraception or be of non-childbearing potential (post-menopausal for at least 2 years or who have undergone hysterectomy, oophorectomy or surgical sterilization). 4. Geographic accessibility to the study center and the ability to travel to the clinic for study visits. 5. Presence of a willing and able caregiver. 6. Diagnosis of ALS based on examination by the site PI, meeting El Escorial criteria for possible, laboratory-supported probable, probable or definite ALS or be a person without a diagnosis of ALS disorder 7. Vital capacity ≥ 50% of predicted normal for age, height and gender measured in the seated position and the ability to lie supine for a period of 1 hour. 8. Agrees to the visit schedule as outlined in the informed consent. 9. Pre-study labs within normal range, or if abnormal, deemed not clinically significant by the site investigator.",IRB00263068 NCT04749433,Adults; Older Adults,year(s),,396721,,,18.0,"1. Weakness due to causes other than ALS. 2. Receipt of any investigational drug, device or biologic within 30 days of administration of study compound. 3. Use of anti-inflammatory medications, immunosuppressants, or benzodiazepines. 4. Any concomitant medical disease or condition limiting the safety to participate including, but not limited to: 1. Coagulopathy 2. Active infection 5. Any condition that the site PI feels may interfere with participation in the study 6. Inability to provide informed consent as determined by the site PI. 7. Known clinical evidence of frontotemporal dementia 8. Inadequate family or caregiver support as determined by the site PI. 9. Presence of any of the following conditions: 1. Current drug abuse or alcoholism 2. Unstable medical conditions 3. Unstable psychiatric illness including psychosis and untreated major depression within 90 days of screening",I,Both
0,,"Inclusion Criteria (Healthy Volunteers) 1. All volunteers must be 18 years of age or older, able to read, understand and voluntarily sign and informed consent document. 2. Volunteers must have no current medical history of brain disease 3. Negative pregnancy test if female of childbearing potential. 4. Women of childbearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry for the duration of study participation. Inclusion Criteria (Alzheimer's Disease or ALS) 1. All volunteers must be 18 years of age or older, able to read, understand and voluntarily sign and informed consent document. 2. Subjects must have a diagnosis of Alzheimer's Disease or ALS for which they are under a physician's care. 3. Subjects must have a negative pregnancy test if female of childbearing potential 4. Women of childbearing potential and men must agree to use adequate contraception (hormonal or barrier method of birth control; abstinence) prior to study entry for the duration of the study participation.",AAAS4926 NCT04575727,Adults; Older Adults,year(s),,386127,,,18.0,"1. Participants with evidence of brain disease other than ALS or Alzheimer's Disease at the time of enrolment up to agent administration are to be excluded from the study. 2. Concomitant medication use that, in the judgement of the investigator, would make the participant inappropriate for enrolment. 3. Severe concurrent disease, infection, or medical co-morbidity that, in the judgement of the investigator, would make the participant inappropriate for enrolment. 4. Participants who are receiving other investigational radiation drugs. 5. Women who are pregnant or breast feeding. 6. Subjects who are unable to tolerate PET/CT imaging",I,Both
0,,"Study subjects meeting all of the following criteria will be allowed to enroll in the study: 1. Male or female, aged 18 to 80 2. Medically safe to undergo MRI scans 3. Able to safely lie supine for at least 90 minutes in the opinion of the Site Investigator 4. Capable of providing informed consent and following trial procedures 5. Geographically accessible to the site ALS subjects must also meet the following criteria: 1. Sporadic or familial ALS diagnosed as possible, laboratory-supported probable, probable, or definite as defined by modified El Escorial criteria 2. ALS Cognitive Behavioral Screen score >10 on the cognitive scale and/or >32 on the behavioral scale Those ALS subjects participating in the optional lumbar puncture portion of the study must also meet the following criteria: 1. Subjects medically able to undergo lumbar puncture (LP) as determined by the investigator (i.e., no bleeding disorder, allergy to local anesthetics, a skin infection at or near the LP site, or evidence of high intracranial pressure). For those subjects participating in the PET scan portion of the study, subjects must also meet the following criteria: 1. Medically safe to undergo PET scans 2. No prior radiation exposure that exceeds the site's current guidelines 3. No known allergy to any components of the tracer 4. Baseline ECG values are within normal range 5. Subjects must meet main study entry criteria",2015P000140 NCT02559869 TRACK-ALS,Adults; Older Adults,year(s),year(s),265102,,80.0,18.0,"Study subjects meeting any of the following criteria during screening evaluations will be excluded from entry into the study: 1. Any contraindication to undergo MRI studies such as 1. History of a cardiac pacemaker or pacemaker wires 2. Metallic particles in the body 3. Vascular clips in the head 4. Prosthetic heart valves 5. Claustrophobia 2. Diagnosis of Parkinson's disease or Alzheimer's disease 3. Diagnosis of renal failure 4. Have active or chronic autoimmune disease (such as hepatitis or HIV), infection, or taking immunosuppressive medications such as steroids, cyclophosphamide, etc. 5. Presence of diaphragm pacing system (DPS) 6. The presence of unstable psychiatric disease, cognitive impairment, or dementia that would impair ability of the subject to provide informed consent, according to SI judgment 7. Pregnant women or women currently breastfeeding 8. Anything that, in the opinion of the investigator, would place the subject at increased risk or preclude the subject's full compliance with or completion of the study In addition, any subject meeting any of the following criteria during screening evaluations will be excluded from entry into the PET portion of the study: 1. Radiation exposure that exceeds the site's current guidelines 2. Low affinity TSPO binders determined by having a Thr/Thr polymorphism in the TSPO gene (rs6971) at the Screening Visit Women of Childbearing Potential (WOCBP) For the purposes of this study, women of child bearing potential are defined as all women who are capable of becoming pregnant, unless they meet one of the following criteria: - 12-months post-menopausal - Post-hysterectomy - Surgically sterile",(N/A),Both
